|   SpT |  Teff |  logT |   Msun | logL |           lycfrac |            lyclum |    B-V |  Bt-Vt |    U-B |   V-Rc |   V-Ic |   V-Ks |    J-H |    H-K | Ks-W1 | logAge |    b-y |  #SpT |   M_J |  M_Ks |  Mbol |  i-z |  z-Y | W1-W2 |   BCv |    Mv |
|   F8V |  6170 |  3.79 |   1.18 | 0.31 |               0.0 |               0.0 |  0.530 |  0.558 |  0.001 |  0.300 |  0.599 |  1.290 |  0.225 |  0.061 | 0.027 |    9.6 |  0.350 |   F8V |  3.01 |  2.72 |  3.96 |  ... |  ... |   ... | -0.07 |  4.01 |
|   F9V |  6040 | 3.781 |   1.14 | 0.26 |               0.0 |               0.0 |  0.552 |  0.587 |  0.014 |  0.312 |  0.620 |  1.340 |  0.237 |  0.063 | 0.027 |    9.7 |  0.378 |   F9V |  3.11 |  2.81 |  4.07 |  ... |  ... |   ... | -0.08 |  4.15 |
|   G0V |  5920 | 3.772 |   1.08 | 0.14 |               0.0 |               0.0 |  0.596 |  0.650 |  0.058 |  0.336 |  0.664 |  1.440 |  0.262 |  0.067 | 0.027 |    9.7 |    ... |   G0V |  3.34 |  3.01 |   4.4 |  ... |  ... |   ... | -0.09 |  4.45 |
|   G1V |  5880 | 3.769 |   1.07 | 0.13 |               0.0 |               0.0 |  0.604 |  0.661 |  0.067 |  0.340 |  0.672 |  1.458 |  0.267 |  0.068 | 0.027 |    9.8 |    ... |   G1V |  3.38 |  3.04 |   4.4 |  ... |  ... |   ... |  -0.1 |   4.5 |
|   G2V |  5770 | 3.761 |   1.02 | 0.01 |               0.0 |               0.0 |  0.650 |  0.724 |  0.133 |  0.363 |  0.713 |  1.564 |  0.293 |  0.073 | 0.028 |    9.8 |    ... |   G2V |  3.57 |  3.20 |  4.68 |  ... |  ... |   ... | -0.11 |  4.79 |
|   G3V |  5720 | 3.757 |   -1.0 | 0.01 |               0.0 |               0.0 |  0.661 |  0.739 |  0.152 |  0.368 |  0.722 |  1.590 |  0.299 |  0.074 | 0.028 |    ... |    ... |   G3V |  3.64 |  3.27 |  4.74 |  ... |  ... |   ... | -0.12 |  4.86 |
|   G4V |  5680 | 3.754 |  -0.99 | 0.04 |               0.0 |               0.0 |  0.674 |  0.757 |  0.175 |  0.374 |  0.733 |  1.621 |  0.307 |  0.075 | 0.028 |    ... |    ... |   G4V |  3.70 |  3.32 |   4.8 |  ... |  ... |   ... | -0.13 |  4.94 |
|   G5V |  5660 | 3.753 |  -0.98 | 0.05 |               0.0 |               0.0 |  0.680 |  0.764 |  0.185 |  0.377 |  0.738 |  1.635 |  0.310 |  0.076 | 0.028 |    ... |    ... |   G5V |  3.74 |  3.35 |  4.84 |  ... |  ... |   ... | -0.13 |  4.98 |
|   G6V |  5590 | 3.747 |  -0.97 | 0.11 |               0.0 |               0.0 |  0.704 |  0.796 |  0.227 |  0.388 |  0.758 |  1.691 |  0.324 |  0.079 | 0.028 |    ... |    ... |   G6V |  3.84 |  3.44 |  4.98 |  ... |  ... |   ... | -0.15 |  5.13 |
|   G7V |  5530 | 3.743 |  -0.96 | 0.12 |               0.0 |               0.0 |  0.713 |  0.809 |  0.243 |  0.393 |  0.766 |  1.712 |  0.329 |  0.080 | 0.028 |    ... |    ... |   G7V |  3.88 |  3.47 |  5.02 |  ... |  ... |   ... | -0.16 |  5.18 |
|   G8V |  5490 | 3.734 |  -0.94 | 0.17 |               0.0 |               0.0 |  0.737 |  0.842 |  0.284 |  0.404 |  0.786 |  1.768 |  0.342 |  0.082 | 0.028 |    ... |    ... |   G8V |  3.97 |  3.55 |  5.15 |  ... |  ... |   ... | -0.17 |  5.32 |
